animeTitle	Chou Supercar Gattiger
animeType	TV
animeNumEpisode	25
releaseDate	1977-10-04 00:00:00
endDate	1978-03-28 00:00:00
animeNumMembers	
animeScore	6.08
animeUsers	146
animeRank	
animePopularity	12608
animeDescription	"A scientist invents 5 special solar powered cars that can be joined into one supercar. The cars are given to the scientists son and his friends to compete in the racing circuit, but they are pursued by an evil organization that wants the secret of solar power. 

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
