animeTitle	Comic Party Revolution
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.5
animeUsers	3477
animeRank	
animePopularity	5564
animeDescription	"Sendo Kazuki, failed the entrance exam for the art college he was applying to, His childhood friend, Kuhonbutsu Taishi forced Kazuki to enter the doujin (private publishing) world. 

(Source: AnimeNfo)"
animeRelated	['Comic Party', 'Comic Party Specials', 'Comic Party Revolution OVA']
animeCharacters	['Sendou, Kazuki', 'Takase, Mizuki', 'Sakurai, Asahi', 'Kuhonbutsu, Taishi', 'Inagawa, Yuu', 'Haga, Reiko', 'Hasebe, Aya', 'Tsukamoto, Chisa', 'Tachikawa, Ikumi', 'Ooba, Eimi']
animeVoices	['Kikuchi, Masami', 'Sayama, Riko', 'Koorogi, Satomi', 'Toochika, Kouichi', 'Morota, Kaoru', 'Muta, Akiko', 'Sonozaki, Mie', 'Baba, Sumie', 'Koyama, Kimiko', 'Ishikawa, Shizuka']
animeStaff	[['Chung, Jin Ho', 'Producer'], ['Hayashi, Hiroki', 'Episode Director, Storyboard'], ['Nagamura, Shinji', 'Episode Director, Storyboard'], ['Grant, Tiffany', 'Script']]
