animeTitle	Inbo
animeType	OVA
animeNumEpisode	3
releaseDate	2005-07-29 00:00:00
endDate	2005-11-18 00:00:00
animeNumMembers	
animeScore	6.1
animeUsers	2012
animeRank	
animePopularity	6956
animeDescription	"One day after school, Masaru helps his stepmother Saori pick something up from her sister Miyuki's house. But when Masaru arrives, he catches his stepaunt in the act of pleasuring herself—while calling out his name! Noticing Masaru, Miyuki invites him in and has her way with the inexperienced young man. Soon, the worried Saori checks up on why her sister and stepson are not picking up...

[Written by MAL Rewrite]"
animeRelated	['Inko']
animeCharacters	['Saori', 'Miyuki', 'Masaru']
animeVoices	[]
animeStaff	[['Nishi, Shigenari', 'Editing'], ['Noguchi, Konomi', 'Character Design'], ['Okazaki, Hideo', 'Director of Photography'], ['Aoyama, Manami', 'Color Setting']]
