animeTitle	Robokko Beeton
animeType	TV
animeNumEpisode	50
releaseDate	1976-10-12 00:00:00
endDate	1977-09-27 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14922
animeDescription	"When a boy's uncle sends him confusing plans for a robot from America, the boy makes a mistake in the assembly which leads to unexpected results.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Masao', 'Beeton', 'Nennen', 'Gakioyaji', 'Urara']
animeVoices	['Tokumaru, Kan', 'Shiraishi, Fuyumi', 'Hirai, Michiko', 'Nagai, Ichiro', 'Koyama, Mami']
animeStaff	[['Oosumi, Masaaki', 'Director, Original Creator'], ['Tomino, Yoshiyuki', 'Episode Director'], ['Dezaki, Satoshi', 'Episode Director'], ['Fukutomi, Hiroshi', 'Episode Director']]
