animeTitle	Sengoku Choujuu Giga: Kou
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	5.87
animeUsers	2000
animeRank	
animePopularity	6608
animeDescription	"The history, either daily life or life stories of Sengoku warriors, is described using animals. We invite popular young actors and unique casts to voice out those Sengoku warriors while joking about them. An anime that teases Japan's history and Sengoku warriors; that's ""Sengoku Choujuu Giga.""

(Source: MAL News)"
animeRelated	['Sengoku Choujuu Giga: Otsu']
animeCharacters	['Hideyoshi, Toyotomi', 'Tokugawa, Ieyasu', 'Sanada, Yukimura', 'Nobunaga, Oda ', 'Wakisaka, Yasuharu', 'Katou, Yoshiaki', 'Date, Masamune', 'Fukushima, Masanori', 'Katou, Kiyomasa', 'Mori, Ranmaru']
animeVoices	['Murai, Ryouta', 'Fukazawa, Taiga', 'Mineta, Hiromu']
animeStaff	[['Sumida, Takashi', 'Director'], ['Kumamoto, Hiromu', 'Script'], ['Ueda, Yurisa', 'Animation Director'], ['Iwasaki, Takuya', 'Planning']]
