animeTitle	Elf no Wakaokusama
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.91
animeUsers	1243
animeRank	
animePopularity	8334
animeDescription	"Mixed marriages are a tricky thing, so when the human Kenji and Milfa, an elf, get married, the course of true love does not run smoothly... especially when it turns out that there’s a certain difference in plumbing that makes it almost impossible for them to consummate their marriage. 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Milfie']
animeVoices	['Kuroda, Yumi']
animeStaff	[['Fujiyama, Fusanobu', 'Sound Director'], ['Kuroda, Yumi', 'Theme Song Performance']]
