animeTitle	Tesagure! Bukatsumono Spin-off Purupurun Sharumu to Asobou
animeType	TV
animeNumEpisode	12
releaseDate	2015-04-05 00:00:00
endDate	2015-06-28 00:00:00
animeNumMembers	3757
animeScore	6.92
animeUsers	1138
animeRank	4119
animePopularity	7805
animeDescription	A spin-off of the Tesagure! Bukatsumono series.
animeRelated	['Tesagure! Bukatsumono', 'Tesagure! Bukatsumono Encore', 'Tesapuru dayo! Schedule no Au Hito dake Shuugou!']
animeCharacters	['Takahashi, Aoi', 'Tanaka, Koharu', 'Suzuki, Yua', 'Satou, Hina', 'Sonota, Mobuko', 'Okonogi, Tomomi', 'Fuefuki, Tarou', 'Usami, Hina', 'Enjouji, Yui', 'Watanabe, Mio']
animeVoices	['Ogino, Karin', 'Ohashi, Ayaka', 'Nishi, Asuka', 'Akesaka, Satomi', 'Ueda, Reina', 'Uesaka, Sumire', 'Komatsu, Mikako', 'Takamori, Natsumi']
animeStaff	[['Ishidate, Koutarou', 'Director, Script'], ['Komatsu, Mikako', 'Theme Song Performance'], ['Ookubo, Rumi', 'Theme Song Performance'], ['Takamori, Natsumi', 'Theme Song Performance']]
