animeTitle	Oniichan ni Natchatta
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17391
animeDescription	A little boy doesn't understand why all the women crowd around and pay attention to a baby. It's loud, cries, and doesn't do any tricks. Until he himself is called Oniichan does he realize that a baby is nice to have around to be given such a grand title of importance.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
