animeTitle	Jewelpet Sunshine
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.58
animeUsers	866
animeRank	
animePopularity	7473
animeDescription	"In Sunshine Academy, there is a class of lost causes known as ""the leftovers"", the Plum class. Ruby and Kanon Mizushirou navigate through high school life in a fantastical world while juggling their warped friendship with their crush on Mikage Shiraishi."
animeRelated	['Jewelpet']
animeCharacters	['Ruby', 'Sapphie', 'Labra', 'Garnet', 'Mizushiro, Kanon', 'Sango', 'Asaka, Hinata', 'Peridot', 'Titana', 'Aizawa, Shouko']
animeVoices	['Saitou, Ayaka', 'Sasaki, Nozomi', 'Sawashiro, Miyuki', 'Hirano, Aya', 'Matsuzaki, Rei', 'Shimizu, Ai', 'Toyosaki, Aki', 'Kaida, Yuki', 'Erika']
animeStaff	[['Iwanami, Yoshikazu', 'Sound Director'], ['Moriwaki, Makoto', 'Episode Director, Storyboard'], ['Ookubo, Masao', 'Episode Director, Storyboard, Key Animation'], ['Ogiwara, Rokou', 'Episode Director']]
