animeTitle	Flying Luna Clipper
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.94
animeUsers	348
animeRank	
animePopularity	11209
animeDescription	"A trip on a chartered plane with a number of other thrill-seekers (most of whom are anthropomorphic fruits and vegetables) and hop from island to island, each of which offer their own unique visual delights. 

(Source: IMDB)"
animeRelated	[]
animeCharacters	['Snowman']
animeVoices	[]
animeStaff	[]
