animeTitle	b'Soushitsukyou'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.03
animeUsers	718
animeRank	
animePopularity	
animeDescription	b'Naoto and his lover Miyuki were going to ski resort; however, their bus was stalled in blizzard. The passengers were helped by Natsuyo, a landlady of a Japanese style hotel, and they decided to stay at the hotel for a while. At that night, Naoto and Miyuki made love at the hotel over and over, but he couldn\xe2\x80\x99t be satisfied, and finally he began to love Natsuyo. The situation was the same with other passengers. In this closed space, ritual and accidents continued... A bizarre and erotic story was just begun...\n\n(Source: AnimeNfo)'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
