animeTitle	Ikkitousen: Xtreme Xecutor Specials
animeType	Special
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.56
animeUsers	4732
animeRank	
animePopularity	4788
animeDescription	Ikkitousen: Xtreme Xecutor Blu-ray and DVD specials.
animeRelated	['Ikkitousen: Xtreme Xecutor']
animeCharacters	"[""Kan'u, Unchou"", 'Ryomou, Shimei', 'Sonsaku, Hakufu', ""Chou'un, Shiryuu"", 'Mouki, Bachou', 'Chuubou, Sonken', 'Shizen, Teni', 'Genpou, Saji', 'Ryuubi, Gentoku', 'Kakouen, Myousai']"
animeVoices	['Nabatame, Hitomi', 'Kaida, Yuuko', 'Asano, Masumi', 'Asakawa, Yuu', 'Endou, Aya', 'Horie, Yui', 'Takahashi, Mikako', 'Yusa, Kouji', 'Shindou, Kei', 'Kitamura, Eri']
animeStaff	[['Gotou, Junji', 'Chief Animation Director, Character Design']]
