animeTitle	Wu Shan Wu Xing
animeType	ONA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.93
animeUsers	11028
animeRank	
animePopularity	3034
animeDescription	"A legend tells that a long time ago, monsters could give the ability to certain elected officials to master the five elements. But for that, you have to go through the dangerous foggy mountains...

We follow the adventures of one of these elected officials.

(Source: Nautiljon)"
animeRelated	['Wu Shan Wuhang (2016)']
animeCharacters	['Wen Ren, Yi Xuan']
animeVoices	[]
animeStaff	[['Lin, Hun', 'Director']]
