animeTitle	Gun-dou Musashi
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	5.67
animeUsers	671
animeRank	
animePopularity	6192
animeDescription	"The adventures of a whiny teenage Miyamoto Musashi, his electro-sword and demon-sealing revolvers, and his quest to win the love of the beautiful Kaguyahime.

(Source: ANN)"
animeRelated	['Gun-dou Musashi Recap']
animeCharacters	['Miyamoto, Musashi', 'Takuan', 'Desperado', 'Yumehime', 'da Vinci, Leonardo', 'Sarutobi, Sasuke']
animeVoices	['Namikawa, Daisuke', 'Tanaka, Soichiro', 'Yanagisawa, Mayumi', 'Nakamura, Chie', 'Hirota, Kousei', 'Kobayashi, Yuu']
animeStaff	[['Kinoshita, Yuuki', 'Director'], ['Takakuwa, Hajime', 'Sound Director'], ['Kimeru', 'Theme Song Performance'], ['Monkey Punch', 'Original Creator']]
