animeTitle	Hyakka Ryouran: Samurai Girls Specials
animeType	Special
animeNumEpisode	6
releaseDate	2010-11-25 00:00:00
endDate	2011-04-27 00:00:00
animeNumMembers	
animeScore	6.62
animeUsers	10317
animeRank	
animePopularity	3821
animeDescription	Special episodes added to DVDs and Blu-rays.
animeRelated	['Hyakka Ryouran: Samurai Girls']
animeCharacters	['Yagyuu, Juubei', 'Sanada, Yukimura', 'Yagyuu, Muneakira', 'Tokugawa, Sen', 'Naoe, Kanetsugu', 'Yagyuu, Gisen', 'Gotou, Matabei', 'Hattori, Hanzou']
animeVoices	['Yuuki, Aoi', 'Kugimiya, Rie', 'Hirakawa, Daisuke', 'Kotobuki, Minako', 'Toyosaki, Aki', 'Mizuhara, Kaoru', 'Kobayashi, Yuu', 'Gotou, Saori']
animeStaff	[['Katou, Tatsuya', 'Music'], ['Niθ', 'Original Character Design'], ['Suzuki, Akira', 'Original Creator']]
