animeTitle	I'm Just Me
animeType	Music
animeNumEpisode	1
releaseDate	2019-06-28 00:00:00
endDate	
animeNumMembers	192
animeScore	5.82
animeUsers	105
animeRank	9298
animePopularity	16219
animeDescription	"Music video directed by mareykrap that was originally featured at the My Name is Red-Haired Anne art exhibition in Seoul, South Korea, which showcases the artistic talents of Korean artists through the imaginative retelling and reinterpretation of Anne of Green Gables. This video was used for the 8th chapter of the exhibit titled ""Independent Women"" and was later posted on the offical Genie Music YouTube channel."
animeRelated	"[""Anne's Secret Diary""]"
animeCharacters	[]
animeVoices	[]
animeStaff	[]
