animeTitle	"b""I'm Just Me"""
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.82
animeUsers	105
animeRank	
animePopularity	
animeDescription	"b'Music video directed by mareykrap that was originally featured at the My Name is Red-Haired Anne art exhibition in Seoul, South Korea, which showcases the artistic talents of Korean artists through the imaginative retelling and reinterpretation of Anne of Green Gables. This video was used for the 8th chapter of the exhibit titled ""Independent Women"" and was later posted on the offical Genie Music YouTube channel.'"
animeRelated	"[b""Anne's Secret Diary""]"
animeCharacters	[]
animeVoices	[]
animeStaff	[]
