animeTitle	No Littering
animeType	ONA
animeNumEpisode	1
releaseDate	2012-10-26 00:00:00
endDate	
animeNumMembers	
animeScore	3.56
animeUsers	2890
animeRank	
animePopularity	7550
animeDescription	"While enjoying a date in a park, a man carelessly tosses an empty bottle onto the ground. His selfish littering promptly summons an imposing figure wearing a white hockey mask. The gruesome events that follow tell an admonishing tale about the importance of preserving the outdoors and defending the environment from the ugly menace of litter.

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
