animeTitle	Makiba no Shoujo Katri
animeType	TV
animeNumEpisode	49
releaseDate	1984-01-08 00:00:00
endDate	1984-12-23 00:00:00
animeNumMembers	2984
animeScore	6.86
animeUsers	824
animeRank	4356
animePopularity	8386
animeDescription	This series tells the story of 9 year-old Katri, a  girl who lives on a farm in Finland with her grandparents. Katri's mother has been away in Germany for three years.  The farm is not doing well, so to help support her family, she goes to work on a neighboring farm. Katri faces many struggles and challenges.
animeRelated	['Makiba no Shoujo Katri Specials']
animeCharacters	['Ukonniemi, Katri', 'Gunilla', 'Pekka', 'Raikola, Ulla', 'Halme, Martti']
animeVoices	['Oikawa, Hitomi', 'Takahashi, Kazue', 'Shioya, Yoku', 'Sugita, Ikuko', 'Furuya, Toru']
animeStaff	[['Saitou, Hiroshi', 'Director'], ['Miyazaki, Akira', 'Script'], ['Kusuba, Kouzou', 'Storyboard'], ['Kurosawa, Mamoru', 'In-Between Animation, Key Animation, Animation Check']]
