animeTitle	Haja Taisei Dangaiou
animeType	OVA
animeNumEpisode	3
releaseDate	1987-09-28 00:00:00
endDate	1989-07-25 00:00:00
animeNumMembers	5711
animeScore	6.09
animeUsers	1940
animeRank	8240
animePopularity	6639
animeDescription	"Four psychic teenagers—Mia Alice, Roll Kran, Lamba Nom and Pai Thunder—are brainwashed by the scientist Dr. Tarsan as pilots of his greatest experiment—the giant robot Dangaioh. But as their memories slowly return, these pilots use their abilities and Dangaioh to combat the tyranny of Captain Galimos and the Bunker Space Pirates. 

(Source: ANN)"
animeRelated	['Haja Kyosei G Dangaiou']
animeCharacters	['Mia, Alice', 'Berg, Gil', 'Nom, Lambda', 'Thunder, Pai', 'Kuran, Rol', 'Shazara', 'Flash', 'Oscar', 'Burst', 'Dira']
animeVoices	['Shou, Mayumi', 'Chiba, Shigeru', 'Okamoto, Maya', 'Matsui, Naoko', 'Kamiya, Akira', 'Katsuki, Masako', 'Horikawa, Ryo', 'Yara, Yuusaku', 'Inoue, Kazuhiko', 'Horie, Mitsuko']
animeStaff	[['Suzuki, Toshimitsu', 'Producer'], ['Hirano, Toshiki', 'Director, Script, Storyboard, Character Design'], ['Ohata, Koichi', 'Script, Storyboard'], ['Aikawa, Shou', 'Script']]
