animeTitle	Youyou no Neko Tsumami
animeType	TV
animeNumEpisode	130
releaseDate	1992-03-30 00:00:00
endDate	1992-09-25 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14300
animeDescription	"No synopsis has been added for this series yet.

Click here to update this information."
animeRelated	[]
animeCharacters	['Admiral', 'Yoyo', 'Undertaker', 'Naasha', 'Koko', 'Kiki', 'Doku']
animeVoices	['Maruyama, Eiji', 'Ootsuka, Akio', 'Kameyama, Sukekiyo', 'Hyoudou, Mako', 'Oshitani, Mei', 'Sawada, Toshiko', 'Shimada, Bin']
animeStaff	[['Kameyama, Toshiki', 'Producer'], ['Annou, Masami', 'Director'], ['Abe, Noriyuki', 'Episode Director'], ['Koyama, Takao', 'Script, Series Composition']]
