animeTitle	b'Coral no Tanken'
animeType	b'TV'
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Hector the Rat teams up with his fellow denizens of Pretty Wood, including the titular Coral (a young girl) and the unimaginatively named Crow (a crow), to head off to Holland. With many musical scenes, the voice actors were chosen for their singing ability above all considerations.\n\n(Source: The Anime Encyclopedia)'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
