animeTitle	Sengoku☆Paradise Kiwami
animeType	TV
animeNumEpisode	26
releaseDate	2011-10-04 00:00:00
endDate	2012-03-27 00:00:00
animeNumMembers	5044
animeScore	6.05
animeUsers	767
animeRank	8417
animePopularity	6968
animeDescription	"Based on the online mobile phone otome game ""Sengoku☆Paradise"".

The first 3 minutes of the 10 minute spot for Sengoku☆Paradise Kiwami is the anime. The rest of the 7 minutes is of Sengoku☆Paradise Kiwami cast members Daisuke Namikawa and others (first time with Tetsuya Kakihara, second time with Rei Mochizuki) going on missions, plus an informative short."
animeRelated	[]
animeCharacters	['Date, Masamune', 'Ishida, Mitsunari', 'Tokugawa, Ieyasu', 'Ootani, Yoshitsugu', 'Sanada, Yukimura', 'Kobayakawa, Hideaki', 'Ii, Naomasa', 'Shima, Sakon', 'Tachibana, Muneshige', 'Ukita, Hideie']
animeVoices	['Kakihara, Tetsuya', 'Namikawa, Daisuke', 'Hatano, Wataru', 'Murata, Taishi', 'Eguchi, Takuya', 'Imai, Asami', 'Kajikawa, Shohei', 'Kawahara, Yoshihisa', 'Saitou, Souma', 'Hori, Taiki']
animeStaff	[['Hosoya, Nobuyuki', 'Producer'], ['Kikuchi, Katsuya', 'Director'], ['Tamamura, Jin', 'Episode Director'], ['Anno, Masato', 'Episode Director, Animation Director']]
