animeTitle	Hare Tokidoki Buta (TV)
animeType	TV
animeNumEpisode	61
releaseDate	
endDate	
animeNumMembers	
animeScore	6.47
animeUsers	254
animeRank	
animePopularity	10994
animeDescription	"Tokyo Pig is the wacky and crazy story of a young boy named Spencer and his magical pet pig named Sunny. This is the wierd adventures of these two wierdos.

(Source: ANN)"
animeRelated	['Hare Tokidoki Buta']
animeCharacters	['Mama', 'Tama-chan', 'Announcer Yadama', 'Nabeshin', 'Papa', 'Harebuta', 'Hatakeyama, Noriyasu', 'Onigiriyama', 'Hiraga, Kimiyo', 'Musashi, Koganei']
animeVoices	['Matsui, Naoko', 'Mamiya, Kurumi', 'Watanabe, Misa', 'Yuuki, Hiro', 'Yanada, Kiyoyuki', 'Kanai, Mika', 'Minami, Omi', 'Mizuta, Wasabi', 'Baba, Sumie', 'Shioya, Yoku']
animeStaff	[['Watanabe, Shinichi', 'Director'], ['Hirata, Toshio', 'Director'], ['Nimoy, Jeff', 'Script'], ['Kramer, Steve', 'Script']]
