animeTitle	Ojamajo Doremi Na-i-sho
animeType	OVA
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.74
animeUsers	3697
animeRank	
animePopularity	5596
animeDescription	"Na-i-sho is a 13 episode OAV series detailing the summer between the ~motto~ and the Dokkaan season. It is a bit more mature than the TV seasons, and looks to develop each of the five witches romantically. Hana is back to a baby, and the mahou shop is a bakery. 

(Source: ANN)"
animeRelated	['Motto! Ojamajo Doremi']
animeCharacters	['Harukaze, Doremi', 'Segawa, Onpu', 'Asuka, Momoko', 'Senoo, Aiko', 'Makihatayama, Hana', 'Fujiwara, Hazuki', 'Majorika', 'Harukaze, Pop', 'Yada, Masaru', 'Dela']
animeVoices	['Chiba, Chiemi', 'Shishido, Rumi', 'Miyahara, Nami', 'Matsuoka, Yuki', 'Ootani, Ikue', 'Akiya, Tomoko', 'Nagasawa, Nao', 'Ishige, Sawa']
animeStaff	[['Satou, Junichi', 'Producer, Director, Episode Director, Storyboard'], ['Seki, Hiromi', 'Producer, Planning'], ['Igarashi, Takuya', 'Episode Director'], ['Yamauchi, Shigeyasu', 'Episode Director, Storyboard']]
