animeTitle	Melty Lancer
animeType	OVA
animeNumEpisode	6
releaseDate	1999-05-25 00:00:00
endDate	2000-05-25 00:00:00
animeNumMembers	1929
animeScore	5.88
animeUsers	556
animeRank	9097
animePopularity	9529
animeDescription	"Meltylancer is a Galaxy Police Organization unit comprised by six girls, all of which who have their own special skills and talents. A year has passed since the unit's disbandment, but a new threat leaves the GPO no choice but to recall all the members. With a new commander and a new aide, Meltylancer is deployed once again. 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Angela', 'Nimrod, Sylvia', 'Lansaihe, Sakuya', 'MacGarlen, Melvina', 'Nana', 'Kamishiro, Jun', 'Oshita', 'Grianos', 'Aide', 'Vanessa']
animeVoices	['Tange, Sakura', 'Yukana', 'Iwao, Junko', 'Ogata, Megumi', 'Ikezawa, Haruna', 'Tezuka, Chiharu', 'Matsumoto, Dai', 'Nakai, Kazuya', 'Iwata, Mitsuo', 'Kanai, Mika']
animeStaff	[['Watanabe, Shigeru', 'Producer'], ['Murahama, Shouji', 'Producer'], ['Mori, Takeshi', 'Director, Storyboard'], ['Tsuruoka, Youta', 'Sound Director']]
