animeTitle	Bouken Yuuki Pluster World
animeType	TV
animeNumEpisode	52
releaseDate	2003-04-03 00:00:00
endDate	2004-03-25 00:00:00
animeNumMembers	824
animeScore	6.14
animeUsers	180
animeRank	7964
animePopularity	11618
animeDescription	"Sent to a strange world, a young boy must team up with monsters, becoming one with them to battle evil.
"
animeRelated	[]
animeCharacters	['Beetma', 'Kaname, Touma', 'Honoda, Gan']
animeVoices	['Fukuyama, Jun', 'Asakawa, Yuu', 'Suyama, Akio']
animeStaff	[['Iwanami, Yoshikazu', 'Sound Director'], ['Tomita, Sukehiro', 'Script'], ['Nanba, Hitoshi', 'Storyboard'], ['Katsu, Seiji', 'Theme Song Performance, Theme Song Composition']]
