animeTitle	KimiKiss Pure Rouge: Love Fighter
animeType	Special
animeNumEpisode	1
releaseDate	2008-08-22 00:00:00
endDate	
animeNumMembers	11696
animeScore	6.95
animeUsers	6362
animeRank	3995
animePopularity	4997
animeDescription	DVD only episode entitled 'love fighter'. It features the whole cast but focuses on Megumi Kuryuu.
animeRelated	['KimiKiss Pure Rouge']
animeCharacters	['Kuryuu, Megumi', 'Futami, Eriko', 'Mizusawa, Mao', 'Hoshino, Yuumi', 'Sakino, Asuka', 'Aihara, Kazuki', 'Kai, Eiji', 'Sanada, Kouichi', 'Kawada, Tomoko', 'Aihara, Nana']
animeVoices	['Nakahara, Mai', 'Tanaka, Rie', 'Ikezawa, Haruna', 'Koshimizu, Ami', 'Hirohashi, Ryou', 'Mizushima, Takahiro', 'Sakurai, Takahiro', 'Hino, Satoshi', 'Kawasumi, Ayako', 'Nogawa, Sakura']
animeStaff	[['Kasai, Kenichi', 'Episode Director, Storyboard'], ['marble', 'Theme Song Performance'], ['Enterbrain', 'Original Creator, Original Character Design'], ['Iwakura, Kazunori', 'Character Design']]
