animeTitle	Shocking Pink!
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.84
animeUsers	3364
animeRank	
animePopularity	5424
animeDescription	"A boy named similar to Zhuge Liang, from Romance of Three Kingdoms meets a girl who believe that she's a desendant of Liu Bei. She wants him to become her strategist. 

(Source: MU) "
animeRelated	['Shocking Pink!']
animeCharacters	"[""Unchou, Kan'u"", 'Morokuzu, Takaaki', 'Gentoku, Ryuubi', 'Yokutoku, Chouhi']"
animeVoices	['Okajima, Tae', 'Igarashi, Hiromi']
animeStaff	[['Yasui, Riosuke', 'Original Creator, Original Character Design'], ['Noguchi, Takayuki', 'Character Design']]
