animeTitle	b'Shampoo no Nioi ga Shita'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.22
animeUsers	681
animeRank	
animePopularity	
animeDescription	b'Music video included with the second single of the digital idol group 22/7 (Nanabun no Nijuuni).'
animeRelated	[b'Boku wa Sonzai Shiteinakatta', b'Rikaisha', b'Nani mo Shite Agerarenai', b'22/7', b'Ano Hi no Kanojo-tachi']
animeCharacters	[b'Takigawa, Miu', b'Toda, Jun', b'Fujima, Sakura', b'Maruyama, Akane', b'Tachikawa, Ayaka', b'Satou, Reika', b'Saitou, Nicole', b'Kouno, Miyako']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nAndou, Ryou\n\nDirector\n\n', b'\n22/7\n\nTheme Song Performance\n\n', b'\nAkimoto, Yasushi\n\nTheme Song Lyrics\n\n', b'\nKantoku\n\nOriginal Character Design\n\n']
