animeTitle	Sandwhichman Touhoku Ai Bottle
animeType	Special
animeNumEpisode	6
releaseDate	2018-03-06 00:00:00
endDate	2018-09-18 00:00:00
animeNumMembers	126
animeScore	
animeUsers	
animeRank	13074
animePopularity	17413
animeDescription	Suntory commercials for their oolong tea bottles featuring Sandwhichman, a comedy duo from Japan. The commercials were shown on television and streamed on Suntroy's official YouTube channel. The theme is Touhoku love, Touhoku is the Northeast region of Japan composed of 6 prefectures. Each commercial focuses on one of the prefectures in that region (respectively Miyagi, Fukushima, Aomori, Yamagata, Iwate, and Akita).
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
