animeTitle	Ganbare-bu Next!
animeType	TV
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15464
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	[]
animeCharacters	['Takahashi, Kentarou', 'Yamauchi, Akihiro', 'Yanagida, Masahiro', 'Ishikawa, Yuuki', 'Nanbu, Masashi', 'Fukatsu, Hideomi']
animeVoices	['Takahashi, Shinya', 'Takanashi, Kengo', 'Shirai, Yuusuke', 'Hirose, Yuuya', 'Seki, Takaaki', 'Takase, Yasuyuki']
animeStaff	[['Mihara, Takenori', 'Director'], ['Sekine, Satoko', 'Script, Series Composition'], ['Soga, Atsushi', 'Character Design']]
