animeTitle	Bikkuriman
animeType	TV
animeNumEpisode	75
releaseDate	
endDate	
animeNumMembers	
animeScore	6.1
animeUsers	122
animeRank	
animePopularity	12375
animeDescription	In a world divided between angels and evil creatures, only the young hero Yamato Shintei has the power to defeat the demons...
animeRelated	['Shin Bikkuriman', 'Bikkuriman: Moen Zone no Himitsu', 'Bikkuriman: Daiichiji Seima Taisen', 'Bikkuriman Kids: Theme Fighter Nyander']
animeCharacters	['Tenshi, Juujika', 'Prince Yamato', 'Zeus, Super']
animeVoices	['Suzuki, Tomiko', 'Yanami, Jouji']
animeStaff	[['Satou, Junichi', 'Episode Director, Storyboard'], ['Yamamoto, Yuusuke', 'Episode Director, Storyboard'], ['Kakudou, Hiroyuki', 'Episode Director'], ['Endou, Yuuji', 'Episode Director']]
