animeTitle	Rakugaki Picasso
animeType	Music
animeNumEpisode	1
releaseDate	2014-04-16 00:00:00
endDate	
animeNumMembers	825
animeScore	5.59
animeUsers	477
animeRank	10094
animePopularity	11627
animeDescription	"Music video for the song ""Rakugaki Picasso"" by 40mP. Collaboration with Pentel Inc."
animeRelated	[]
animeCharacters	['Hatsune, Miku']
animeVoices	[]
animeStaff	[['Morii, Kenshirou', 'Director, Key Animation'], ['Hatsune, Miku', 'Theme Song Performance'], ['40mP', 'Theme Song Lyrics, Theme Song Composition, Theme Song Arrangement']]
