animeTitle	Rifujin-jin
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17712
animeDescription	A song about a child's negative attitude. How being bossed around by adults makes a flame of anger boil in them. Even though the adults are doing it for the child's benefit (stop eating so many potato chips, do your homework, don't draw on the walls, etc.)
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
