animeTitle	Robotan
animeType	TV
animeNumEpisode	104
releaseDate	1966-10-04 00:00:00
endDate	1968-09-27 00:00:00
animeNumMembers	
animeScore	6.13
animeUsers	132
animeRank	
animePopularity	13307
animeDescription	"Based on a manga by Morita Kenji.

Household robot Robotan, made by a nerdy school boy named Kan-chan, lives with an everyday Japanese family as a domestic servant and friend to the children.

(Source: AniDB)"
animeRelated	['Robotan (1986)']
animeCharacters	"['Robotan', ""Bocchi's Father""]"
animeVoices	['Zaitsu, Ichirou']
animeStaff	[['Honey Knights', 'Theme Song Performance'], ['Taniguchi, Moriyasu', 'Animation Director'], ['Morita, Kenji', 'Original Creator, Animation Director']]
