animeTitle	Ero Konbini Tenchou
animeType	OVA
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	6.39
animeUsers	1091
animeRank	
animePopularity	7843
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['JK to Ero Konbini Tenchou']
animeCharacters	['Nakaizumi, Yui', 'Fuyutsuki, Shiori', 'Kusunose, Miki', 'Nakaizumi, Mao']
animeVoices	[]
animeStaff	[['Kinohara, Hikaru', 'Character Design']]
