animeTitle	Kobo-chan Special (1994)
animeType	Special
animeNumEpisode	2
releaseDate	1994-09-15 00:00:00
endDate	1998-09-15 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17781
animeDescription	Two Kobo-chan televised specials that aired after the TV anime's serialization. The 1st special is composed of 4 short stories. The 2nd special received some interrupted broadcasts in some parts of Japan due to an earthquake near the Miyagi Prefecture.
animeRelated	['Kobo-chan']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
