animeTitle	Momotarou Densetsu
animeType	TV
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13116
animeDescription	"No synopsis has been added for this series yet.

Click here to update this information."
animeRelated	['Peach Command Shin Momotarou Densetsu', 'Peeping Life x Sanyo']
animeCharacters	['Momotarou', 'Kintarou']
animeVoices	['Sasaki, Nozomu', 'Watanabe, Kumiko']
animeStaff	[['Daichi, Akitarou', 'Episode Director, Storyboard'], ['Hata, Yoshito', 'Episode Director, Storyboard'], ['Yamayoshi, Yasuo', 'Episode Director, Storyboard'], ['Asada, Yuuji', 'Episode Director, Storyboard']]
