animeTitle	Tell Your World
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.85
animeUsers	2973
animeRank	
animePopularity	6920
animeDescription	"Music video from livetune under the label Toy's Factory.

Tell Your World is the theme song used in the Google Chrome commercial of Google Japan."
animeRelated	[]
animeCharacters	['Hatsune, Miku']
animeVoices	['Hatsune, Miku']
animeStaff	[['wakamuraP', 'Director'], ['fantasista utamaro', 'Director'], ['Hatsune, Miku', 'Theme Song Performance'], ['kz', 'Theme Song Lyrics, Theme Song Composition, Theme Song Arrangement']]
