animeTitle	Mugyutto! Black Clover
animeType	ONA
animeNumEpisode	8
releaseDate	2019-07-01 00:00:00
endDate	2019-08-19 00:00:00
animeNumMembers	
animeScore	6.4
animeUsers	4302
animeRank	
animePopularity	4857
animeDescription	SD Black Clover short comedy specials released exclusively on dTV.
animeRelated	['Black Clover']
animeCharacters	['Asta', 'Yuno', 'Sukehiro, Yami', 'Silva, Noelle', 'Voltia, Luck', 'Novachrono, Julius', 'Papittson, Charmy', 'Roulacase, Finral', 'Enoteca, Vanessa', 'Agrippa, Gordon']
animeVoices	[]
animeStaff	[['Nishiyama, Tsukasa', 'Director, Character Design'], ['Katou, Kanichi', 'Script'], ['Shimazaki, Nobunaga', 'Theme Song Performance'], ['Kajiwara, Gakuto', 'Theme Song Performance']]
