animeTitle	Tsuideni Tonchinkan
animeType	TV
animeNumEpisode	43
releaseDate	1987-10-10 00:00:00
endDate	1988-10-01 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12469
animeDescription	"Based on the same name gag manga by Endo Koichi.

A gang decides to play at burglary without the knowledge of their schoolmates, each masquerading at different times as the master thief Tonchinkan.

(Source: ANN)"
animeRelated	['Tsuideni Tonchinkan']
animeCharacters	['Nukesaku, Aida']
animeVoices	['Yoshimura, You']
animeStaff	[['Misawa, Shin', 'Episode Director, Storyboard'], ['Yamada, Takashi', 'Script'], ['Koyama, Takao', 'Script, Series Composition'], ['Yanagawa, Shigeru', 'Script']]
