animeTitle	Morita-san wa Mukuchi.
animeType	TV
animeNumEpisode	13
releaseDate	2011-07-06 00:00:00
endDate	2011-09-28 00:00:00
animeNumMembers	22069
animeScore	6.52
animeUsers	9627
animeRank	6036
animePopularity	3827
animeDescription	Morita Mayu, a high school girl. She is extremely reticent and her silence and habit of looking at people's eyes straightly sometimes cause misunderstanding. The reason behind it is not because she doesn’t like to talk nor because she has nothing to say. The reason she rarely speaks is due to the fact she thinks too much before speaking, thus losing the timing to speak altogether. But she lives a happy school life with her classmates.
animeRelated	['Morita-san wa Mukuchi', 'Morita-san wa Mukuchi. 2', 'Morita-san wa Mukuchi. Specials']
animeCharacters	['Morita, Mayu', 'Matsuzaka, Hana', 'Murakoshi, Miki', 'Miura, Chihiro', 'Girl with Glasses', 'Kokubo, Ryuuta', 'Oono, Kouichi', 'Morita, Father', 'Yamamoto, Ritsuki', 'Morita, Yumi']
animeVoices	['Hanazawa, Kana', 'Nanjou, Yoshino', 'Tomatsu, Haruka', 'Hayami, Saori', 'Satou, Amina', 'Kubota, Ryuuichi', 'Ooshita, Kouta', 'Kii, Masatoshi', 'Hiraga, Mie', 'Nanase, Ami']
animeStaff	[['Hayashi, Naotaka', 'Director'], ['Karasuma, Ryou', 'Script'], ['Nomizu, Iori', 'Theme Song Performance'], ['Horikawa, Kazuto', 'Director of Photography']]
