animeTitle	Shin Pro Golfer Saru
animeType	TV
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15476
animeDescription	The second season of the 1985 anime Pro Golfer Saru.
animeRelated	['Pro Golfer Saru (TV)']
animeCharacters	['Sarutani, Sarumaru']
animeVoices	['Tonguu, Kyouko']
animeStaff	[['Nishimura, Junji', 'Director'], ['Fujiko, Fujio (A)', 'Original Creator'], ['Motohashi, Hideyuki', 'Animation Director'], ['Hashi, Katsuhiro', 'Art Director']]
