animeTitle	Isekai Shokudou 2
animeType	TV
animeNumEpisode	12
releaseDate	2021-10-02 00:00:00
endDate	
animeNumMembers	41706
animeScore	7.65
animeUsers	4077
animeRank	1190
animePopularity	2734
animeDescription	Second season of Isekai Shokudou.
animeRelated	['Isekai Shokudou']
animeCharacters	['Tenshu', 'Aletta', 'Kuro', 'Lionel', 'Pikke', 'Margarette', 'Pakke', 'Emilio', 'Thomas', 'Alfred']
animeVoices	['Suwabe, Junichi', 'Uesaka, Sumire', 'Oonishi, Saori', 'Hiyama, Nobuyuki']
animeStaff	[['Jinbo, Masato', 'Director, Series Composition'], ['Tsuchiya, Masaki', 'Sound Director'], ['Touyama, Nao', 'Theme Song Performance'], ['Yasuno, Kiyono', 'Theme Song Performance']]
