animeTitle	Bakugan: Geogan Rising
animeType	ONA
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	5.67
animeUsers	172
animeRank	
animePopularity	11034
animeDescription	"Bakugan: Geogan Rising is the third season of the animated television series Bakugan: Battle Planet.

The anime aired from January 24, 2021 to September 12, 2021 in Canada on Teletoon. Regular streaming began on April 2, 2021 in Japan and ended on March 18, 2022. The episodes were released on 9Now, and Australian VOD."
animeRelated	['Bakugan: Armored Alliance']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
