animeTitle	Natsumushi The Animation
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.51
animeUsers	2034
animeRank	
animePopularity	6722
animeDescription	"A young man discovers the true erotic touch with it he can tease almost reaching orgasm on any woman, so he decides to use it on his chosen target with some interesting results.

(Source: ANN)"
animeRelated	['Natsumushi', 'Hitoriga The Animation']
animeCharacters	['Tomoe', 'Rina', 'Shirakawa, Sumire']
animeVoices	['Hagiwara, Emiko', 'Hitomi', 'Sakurai, Harumi']
animeStaff	[['Watase, Toshihiro', 'Director'], ['Sawayama, Shinichiro', 'Script, Screenplay'], ['Tominaga, Tsuneo', 'Storyboard'], ['Tsukiyoshi, Hiroki', 'Original Creator']]
