animeTitle	Niji no Kakehashi
animeType	OVA
animeNumEpisode	1
releaseDate	1990-01-01 00:00:00
endDate	
animeNumMembers	119
animeScore	
animeUsers	
animeRank	12377
animePopularity	17533
animeDescription	Satoshi is a popular boy thanks to his success in soccer. Kaori becomes jealous and spreads rumors that Satoshi was of low class birth. The school begins to shun Satoshi to the point that he stops playing soccer. When Kaori's house is damaged by a landslide Satoshi comes to help.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
