animeTitle	Shin Kyojin no Hoshi II
animeType	TV
animeNumEpisode	23
releaseDate	1979-04-14 00:00:00
endDate	1979-09-29 00:00:00
animeNumMembers	472
animeScore	
animeUsers	
animeRank	13258
animePopularity	13094
animeDescription	"A continuation of the popular baseball saga about the star pitcher of a professional baseball team.

(Source: AniDB)"
animeRelated	['Shin Kyojin no Hoshi']
animeCharacters	['Hoshi, Hyuuma', 'Hoshi, Ittetsu', 'Hanagata, Mitsuru', 'Ban, Chuuta']
animeVoices	['Katou, Seizou', 'Inoue, Makio', 'Yanami, Jouji']
animeStaff	"[['Nagaoka, Akinori', 'Episode Director'], ['Kaneko, Yutaka', 'Script'], [""Koorogi '73"", 'Theme Song Performance, Inserted Song Performance'], ['Matsuyama, Yuushi', 'Theme Song Arrangement']]"
