animeTitle	Aftermath
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.03
animeUsers	895
animeRank	
animePopularity	10384
animeDescription	"The video is the result of Muse’s on-going creative collaborations with Japanese director Tekken, who previously delivered eye-catching, flipbook-style animated videos for the band’s tracks “Follow Me” and “Exogenesis: Symphony Part 3 (Redemption)”. 

(Source: Muse)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
