animeTitle	Kaiketsu Zorori Da-Da-Da-Daibouken!
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13422
animeDescription	"The first full-length feature film adaptation of Yutaka Hara's Kaiketsu Zorori.

(Source: ANN)"
animeRelated	['Kaiketsu Zorori']
animeCharacters	['Zorori', 'Noshishi', 'Ishishi']
animeVoices	['Yamadera, Kouichi']
animeStaff	[['Akagi, Hiroaki', 'Key Animation'], ['Oppata, Tadashi', 'Key Animation'], ['Kase, Masahiro', 'Animation Director'], ['Iwata, Keiko', 'Key Animation']]
