animeTitle	Instant History
animeType	TV
animeNumEpisode	312
releaseDate	
endDate	
animeNumMembers	
animeScore	6.23
animeUsers	111
animeRank	
animePopularity	12378
animeDescription	"Each three-minute short features characters learning about important historical events that occurred that day. Shown on Fuji Television, it often featured photographs and film footage taken from the Mainichi Shimbun newspaper, where Ryuuichi Yokoyama's comic strip was running at the time.

(Source: Cartoon Research)"
animeRelated	['Otogi Manga Calendar']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
