animeTitle	Porong Porong Pororo 2
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	5.76
animeUsers	137
animeRank	
animePopularity	13977
animeDescription	A direct continuation of the previous season that starts with the introduction of a new character called Petty who is a female penguin.
animeRelated	['Porong Porong Pororo', 'Pororo-wa Noraehaeyo', 'Porong Porong Pororo 3', 'Pororo Hanguk-e Wass-eoyo', 'Yoligongju Loopy']
animeCharacters	['Pororo']
animeVoices	[]
animeStaff	[]
