animeTitle	Anime Kapibara-san
animeType	TV
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	6.58
animeUsers	1184
animeRank	
animePopularity	8500
animeDescription	"The series follows the daily adventures of Kapibarasan and his animal friends as they chill out among the Midorino Grasslands.

(Source: Crunchyroll)"
animeRelated	[]
animeCharacters	['Kapibara-san', 'Kokapiani', 'Narrator']
animeVoices	['Umehara, Yuuichirou']
animeStaff	[['Tsukimisato, Tomohiro', 'Director, Sound Director'], ['Tateyama, Akiyuki', 'Music']]
