animeTitle	Gekidan Nanatsu no Taizai
animeType	ONA
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	5.65
animeUsers	855
animeRank	
animePopularity	7094
animeDescription	"Mini anime of Nanatsu no Taizai parodying six fairy tales: ""Little Match Girl,"" ""Urashima Tarou,"" ""Tsuru no Ongaeshi,"" ""Snow White's Scary Adventures,"" ""The Honest Woodcutter,"" and ""Momotarou."" They were released daily on the official VAP Youtube channel and on the official Twitter account."
animeRelated	['Nanatsu no Taizai: Fundo no Shinpan']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
