animeTitle	b'Karo to Piyobupt: Sandwich'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.04
animeUsers	355
animeRank	
animePopularity	
animeDescription	b'It was a wonderful day. At the kitchen, Karo and Piyobupt were making sandwiches. Yes, they were going on a picnic. When you eat sandwiches on the beautiful green field, how delicious they are and how much you eat them.\n\n(Source: Yamamura Animation)'
animeRelated	[b'Karo to Piyobupt: Ouchi', b'Karo to Piyobupt: Ame no Hi']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
