animeTitle	Spo-chan Taiketsu: Youkai Daikessen
animeType	Movie
animeNumEpisode	1
releaseDate	2014-08-30 00:00:00
endDate	
animeNumMembers	269
animeScore	
animeUsers	
animeRank	13545
animePopularity	14967
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	[]
animeCharacters	['Jin', 'Kyouji', 'Maya']
animeVoices	['Takagaki, Ayahi', 'Tamura, Mutsumi', 'Horie, Yui']
animeStaff	[['Kinoshita, Yuuki', 'Episode Director'], ['Horie, Yui', 'Theme Song Performance'], ['Abe, Ryuudai', 'Music'], ['Kaneko, Yoshiyuki', 'Associate Producer']]
