animeTitle	Watanuki-san Chi no
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.99
animeUsers	109
animeRank	
animePopularity	9501
animeDescription	"In the story, the three VTubers will play the roles of the Watanuki sisters, who live together in one house in the Shitamachi area of Tokyo after they lost their parents. The series will show the heartwarming everyday lives of the sisters. 

(Source: ANN)"
animeRelated	['Watanuki-san Chi to']
animeCharacters	['Watanuki, Ichika', 'Watanuki, Mitsuki', 'Watanuki, Futaba']
animeVoices	['Tokino, Sora', 'Hibiki, Ao', 'Sarugakuchou, Futaba']
animeStaff	[['Sumida, Takashi', 'Director'], ['Kumamoto, Hiromu', 'Script'], ['Fujiki, Mitsuhiko', 'Script'], ['Silent Siren', 'Theme Song Performance']]
