animeTitle	Gensoumaden Saiyuuki OVA
animeType	OVA
animeNumEpisode	2
releaseDate	1999-04-23 00:00:00
endDate	1999-08-27 00:00:00
animeNumMembers	4709
animeScore	7.06
animeUsers	1685
animeRank	3508
animePopularity	7163
animeDescription	The story of Sanzo and his three companions in their quest to the west, to stop the resurrection of Gyuumao. On the way they are fighting youkai, getting into trouble and helping the townspeople.
animeRelated	['Gensoumaden Saiyuuki']
animeCharacters	['Genjou, Sanzou', 'Son, Gokuu', 'Cho, Hakkai', 'Sha, Gojou', 'Kougaiji', 'Jeep']
animeVoices	['Takagi, Wataru', 'Okano, Kousuke', 'Ishida, Akira', 'Yamadera, Kouichi']
animeStaff	[['Minekura, Kazuya', 'Original Creator'], ['Sasaki, Toshiko', 'Character Design']]
