animeTitle	I''s
animeType	OVA
animeNumEpisode	2
releaseDate	2002-12-09 00:00:00
endDate	2003-03-19 00:00:00
animeNumMembers	
animeScore	5.97
animeUsers	4221
animeRank	
animePopularity	5483
animeDescription	"Aiming to become a modeling artist, Itsuki, a childhood friend of Ichitaka who went to America has come back to Japan. Iori who refused the idol path and started to pursue her ambition to become an actress instead. Ichitaka, wandering on his bicycle alone, tries to decide his choice between the two persons.

(Source: AnimeNfo) 
"
animeRelated	"[""I''s"", ""I''s Pure""]"
animeCharacters	['Yoshizuki, Iori', 'Seto, Ichitaka', 'Akiba, Itsuki', 'Teratani, Yasumasa', 'Koshinae, Jun', 'Tachiba, Nami']
animeVoices	['Sakuma, Kumi', 'Sakurai, Takahiro', 'Nakanishi, Tamaki', 'Kisaichi, Atsushi', 'Ishida, Akira']
animeStaff	[['Kageyama, Shigenori', 'Director, Script, Storyboard, Screenplay'], ['Katsura, Masakazu', 'Original Creator'], ['Shiotani, Naoyoshi', 'Key Animation'], ['Rinshin', 'Character Design']]
