animeTitle	Fireball Humorous
animeType	TV
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.77
animeUsers	977
animeRank	
animePopularity	8405
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Fireball', 'Gebäude Bäude']
animeCharacters	['von Flügel, Drossel', 'Gedächtnis']
animeVoices	['Kawasho, Miyuki', 'Ookawa, Tooru']
animeStaff	[['Arakawa, Wataru', 'Producer, Director'], ['Yanase, Takayuki', 'Mechanical Design']]
