animeTitle	b'Maware Toro-Ika'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A song about a man who grew up eating conveyor belt sushi. The title formally means toro (tuna) and ika (squid) but makes a pun with troika, a traditional Russian harness driving combination, using three horses abreast, usually pulling a sleigh. '
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
