animeTitle	b'A Brightening Life'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.71
animeUsers	145
animeRank	
animePopularity	
animeDescription	b'Above ground, there are many people, coming and going. Underneath a certain sidewalk grate, lives a garbage bag. He has no work, no home, and no family. This is a story of the dirty, black garbage bag and how he gains new life through his connection to the outside world.'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
