animeTitle	Uchuu Senkan Tiramisù II
animeType	TV
animeNumEpisode	13
releaseDate	2018-10-02 00:00:00
endDate	2018-12-25 00:00:00
animeNumMembers	8587
animeScore	6.53
animeUsers	3655
animeRank	5969
animePopularity	5640
animeDescription	Second season of Uchuu Senkan Tiramisù.
animeRelated	['Uchuu Senkan Tiramisù', 'Uchuu Senkan Tiramisù II Specials']
animeCharacters	['Ichinose, Subaru', 'Ichinose, Isuzu', 'Subaru Beyond', 'Hummer, Vulgar', 'Leroy, Ligier', 'Cadillac, Escalade', 'Spyri, Leblanc', 'Alfa, Romeo', 'Ichinose, Souichirou', 'Callaway, Fei']
animeVoices	['Ishikawa, Kaito', 'Sakurai, Takahiro', 'Eguchi, Takuya', 'Suwabe, Junichi', 'Endou, Aya', 'Ikeda, Shuuichi', 'Hisakawa, Aya', 'Shirai, Yuusuke', 'Koyama, Rikiya', 'Han, Megumi']
animeStaff	[['Ikehata, Hiroshi', 'Director, Storyboard'], ['Gou, Fumiyuki', 'Sound Director'], ['Itou, Kei', 'Original Character Design'], ['Hirose, Kiyoshi', 'Editing']]
